RFID,Site,Notes
0700EDC75C,H,"Pics and feathers taken 2018
0700EDB111,H,nestling @ Box 36 H 2016;DIED (Found egg-bound Box A15)
0700EDB721,H,nestling @ Box 43-1 H 2016
0110179E70,H,nestling @ Box 1 H 2016
0110179BAB,H,feather taken fall 2019
0700EDF46D,H,nestling @ Box 34 H 2016
011017A3DB,H,nestling @ Box 5 L 2016!; HOWEVER S2740-25642 (Box 5L) could be misread of S2740-25692 (Box B5-1H) 
0700EDC775,H,nestling @ BOX 29-1 H 2017
01101797F0,H,adult with ongoing moult
01101796B3,H,nestling @ BOX 21 H 2017
01101799DA,H,juv
0700EDB83F,H,nestling @ BOX 24 H 2017
0700EE003D,H,nestling @ BOX 21 H 2017
01101796AE,H,nestling @ BOX 24 H 2017
01101797F4,H,nestling @ BOX 7 H 2017
0700EE43A6,H,nestling @ BOX 7 H 2017
0110179FED,H,nestling @ BOX 29A H 2017
0110179588,H,nestling @ BOX 29A H 2017
0700EDCE9B,H,nestling @ BOX 29A H 2017
0700EDAEEF,H,nestling @ 5A H RENEST 2017
011017A3F5,H,juv
0110179A53,H,juv
0110179CC6,H,juv
011017A794,H,juv
011017A092,H,nestling @ BOX 34 H 2017
011017A832,H,juv
01101799F0,H,juv
0110179CCD,H,juv
011017A74B,H,nestling @ BOX 34 H 2017 ;bald spot on head
011017A83A,H,juv
011017A7DE,H,juv
011017A4B4,H,juv
0110179DD5,H,juv
0110179D52,H,feather taken 2019
0700ED870D,H,juv
0700EDF471,H,juv
011017A53C,H,juv
0700EE1410,H,juv
011017975A,H,adult
0700EE0029,H,juv
011017A131,H,juv
011017987D,H,nestling @ BOX 41 H 2016;adult
0700EDAF52,H,juv
011017A66F,H,adult
0700EDA46A,H,adult
01101799A2,H,juv
0700ED9583,H,nestling 2017 at box 64A LOW;juv
0700EDB888,H,juv
0700EE42B1,H,feather taken fall 2019
0700EDEE86,H,juv
0700EDAA45,H,nestling @ BOX 7 H 2017
011017A089,H,juv
0700ED990E,H,adult
0700EE09F8,H,juv
0700EE2A07,H,juv
0700EDB544,H,adult
0700EDD8A3,H,juv
011017A38C,H,juv
0700ED90AA,H,nestling @ BOX 22 H 2017
0700ED936A,H,juv
0700ED985B,H,adult
0700EE3F26,H,adult
0700ED9E61,H,juv
011017A126,H,juv
0700EDB2DC,H,juv
011017A362,H,juv
0700EDADD1,H,feather taken fall 2019
0700EDF205,H,juv
011017A601,H, nestling Box 4A H; 2016;adult
0700EE08CB,H,feather taken fall 2019
011017A1B1,H,feather taken fall 2019
0700EDDCB5,H,JUV
011017A0AA,H,adult
0700EDA769,H,adult
0700EE220E,H,adult
0700ED9FCD,H,JUV
011017A0F3,H,JUV
0700EDDF34,H,JUV
0110179D6B,H,ADULT
0700EDD6B2,H,JUV
011017A375,H,"ADULT
0700EE0804,H,JUV
011017A7CF,H,ADULT
0700ED9BCF,H,JUV
0700EE0933,H,JUV
0700EE4426,H,JUV
0700ED8873,H,JUV
0700ED89A6,H,JUV
0700EE31C6,H,JUV
011017A58B,H,JUV
0700EDA065,H,JUV
0700EDE00E,H,banded Box 33-1 H; 2017
0700EE33F9,H,JUV
0110179E5D,H,AD?
0110179B73,H,AD?
0700EE1132,H,JUV
0110179FA8,H,JUV
0110179CDC,H,JUV
0700EDDAA7,H,JUV
0700EE1998,H,JUV
0110179726,H,JUV
0700ED9194,H,Pics and feathers taken 2018
01101798E7,H,Nesting from Box 12H 2018;pics and feathers taken 2018
0700EE411B,H,Pics and feathers taken 2018
0700ED0584,H,Nestilng from Box 5-2H 2018;pics and feathers taken 2018
0700ED92CC,H,Pics and feathers taken 2018
0700EDE494,H,Pics and feathers taken 2018
011017A0B2,H,Nestling from Box 33-2H 2018;"Pics and feathers taken 2018
0700EE36B9,H,Tail feather collected 2018
0700EE29AB,H,no blood; tail feather collected 2018
0700EDDC12,H,"no blood; tail feather collected 2018
0700EDB504,H,no blood; tail feather collected 2018
0700EDC782,H,no blood; tail feather collected 2018
0700EDD683,H,no blood; tail feather collected 2018
0700ED9486,H,no blood; tail feather collected 2018
0700EDFC00,H,Nestling from Box 12H 2018;Tail feather collected 2018 and 2019
01101798A1,H,no blood; tail feather collected 2018
0700EDDD27,H,no blood; tail feather collected 2018
0700EDCBB7,H,no blood; tail feather collected 2018
011017A2FF,H,no blood; tail feather collected 2019
011017A764,H,no blood; tail feather collected 2019
0700ED9ACB,H,no blood; tail feather collected 2019
0700EE43AE,H,"no blood; tail feather collected 2019
0700EE242F,H,no blood; tail feather collected 2019
011017A38D,H,no blood; tail feather collected 2019
0700EDB804,H,no blood; tail feather collected 2019
0700EDDC65,H,no blood; tail feather collected 2019
011017A00E,H,"no blood; tail feather collected 2019
011016CF2B,H,no blood; tail feather collected 2019
01103F8CCB,H,no blood; tail feather collected 2019 and fall 2019
01103F6B2D,H,no blood; tail feather collected 2019
011016DAB0,H,no blood; tail feather collected 2019
01103F64A2,H,no blood; tail feather collected 2019
01103F78B9,H,no blood; tail feather collected 2019
0700ED99D6,H,Old bird. Captured without PIT (NOTHING; Y/R) Possible PIT tag failure. 
011016AA87,H,no blood; tail feather collected 2019
0110174484,H,Nestling from Box 29A H 2018; tail feather collected 2019 and Fall 2019
011016E6F6,H,no blood; tail feather collected 2019 and fall 2019
011016F8EA,H,no blood; tail feather collected 2019
011016BC93,H,no blood; tail feather collected 2019 and fall 2019
011016EC1F,H,no blood; tail feather collected 2019; odd bump/defect on bill
0110173587,H,Nestling from Box 28-2 H 2018;tail feather collected 2019
01101744BA,H,Nestling from Box 35-1A H 2018; tail feather collected 2019 and Fall 2019
011016E90A,H,no blood; tail feather collected 2019
011016D7B8,H,"no blood; tail feather collected 2019
0110172798,H,Nestling from Box 1-1 H 2018;tail feather collected 2019 and fall 2019
011016DEED,H,no blood; tail feather collected 2019
01101700D6,H,no blood; tail feather collected 2019 and Fall 2019
011016D8FB,H,check for testing;no blood; tail feather collected 2019
011016A5C0,H,no blood; tail feather collected 2019
011016AF74,H,no blood; tail feather collected 2019
011016AE4D,H,no blood; tail feather collected 2019
011016D1FB,H,no blood: tail feather collected 2019
011016BF32,H,no blood: tail feather collected 2019 and feather taken fall 2019
011016E240,H,no blood: tail feather collected 2019
011016B0B2,H,no blood; tail feather collected 2019
011016D09F,H,no blood; tail feather collected 2019
011016BF54,H,no blood; tail feather collected 2019
011016A6B4,H,no blood; tail feather collected 2019
01103F8935,H,no blood: tail feather collected 2019 and feather taken fall 2019
011016D443,H,no blood; tail feather collected 2019
0110173156,H,Nestling from Box 18A H 2018;no blood or feather
01101732B5,H,Nestling from Box 13 H 2018;feather taken 2019
011016BC94,H,no blood; tail feather collected 2019
011016DD63,H,"no blood; tail feather collected 2019
011016EAC1,H,no blood; tail feather collected 2019
011016BE84,H,no blood; tail feather collected 2019
011016C70D,H,feather taken 2019 fall
011016A45C,H,feather taken 2019
01101742EF,H,Nestling from BOX 10 H 2019;feather taken 2019
0110170406,H,Nestling from BOX B19 H 2019;feather taken 2019
0110171EAB,H,Nestling from BOX 18A H 2018;feather taken 2019
01103F3973,H,feather taken 2019
011016E4E1,H,feather taken 2019
011016D0C1,H,Nestling from BOX 19 L 2019;"feather taken 2019
01103F9064,H,feather taken 2019 and fall 2019
011016AC8F,H,feather taken 2019
011016D572,H,feather taken 2019
011016B0A5,H,feather taken 2019
