Date,Site,Feeder,RFID,ColorBands,SilverBands,Sex,WingLength,Mass,BID,Maturity
11/6/2015,H,F4H,0700EE11BC,R/O;YPT,,,72.5,,,adult
11/6/2015,H,F4H,0700EDAEF6,R/R;YPT,,,70,,,adult
11/6/2015,H,F4H,0700ED8635,R/Y;YPT,,M,74,,,
11/6/2015,H,F4H,0700EE1854,YPT;R/Grey,,F,66,,,
11/6/2015,H,F3H,0700EDF3AC,YPT;O/R,,F,66,,,juv
11/6/2015,H,F3H,0700EDF6A7,YPT;Y/R,,,71,,,juv
11/6/2015,H,F5H,0700EDA4AA,YPT;Blue/R,,,71,,,adult
11/6/2015,H,F4H,0700ED953B,YPT;LB/R,,M,75,,,
11/6/2015,H,F4H,0700EDFFA8,YPT;G/R,,M,75,,,juv
11/6/2015,H,F3H,0700EDC6D8,YPT;Black/R,,,72,,,
11/6/2015,H,F3H,0700EE17DB,YPT;Grey/R,,M,73,,,
11/6/2015,H,F3H,0700ED92A0,Y/R;YPT,,M,73,,,
11/11/2015,H,F1H,0700ED9AF5,BPT;R,,M,73,,,
11/11/2015,H,F1H,0700EDCE8C,BPT;R/R,,M,73.5,,,
11/11/2015,H,F2H,0700EDD7F7,BPT;R/O,,,70,,,
11/11/2015,H,F2H,0700EE1B3E,BPT;R/Y,,,70.5,,,
11/11/2015,H,F4H,0700EE013A,BPT;R/Blue,,M,73,,,
11/11/2015,H,F4H,0700ED98EA,BPT;R/LB,,M,72,,H688; H719,juv
11/11/2015,H,F3H,0700EDF0C7,BPT;R/G,,,69,,,juv
11/11/2015,H,F3H,0700EE255C,BPT;R/Black,,,68,,,juv
11/11/2015,H,F3H,0700EDEB1F,BPT;R/Grey,,M,75,,,
11/11/2015,H,F2H,0700ED9E68,BPT;O/R,,,70,,,juv
11/11/2015,H,F2H,0700EDE290,BPT;Y/R,,,68,,,juv
11/11/2015,H,F1H,0700EDF35B,BPT;Blue/R,,M,73,,,juv
11/11/2015,H,F1H,0700EDDCA8,BPT;LB/R,,,71,,,juv
11/11/2015,H,F1H,0700EDA765,BPT;G/R,,,71.5,,,
11/11/2015,H,F1H,0700EE0171,BPT;Black/R,,,69,,,
11/11/2015,H,F2H,0700EE3039,BPT;Grey/R,,,68,,,
11/11/2015,H,F4H,0700EDC307,BlackPT;R,,M,73,,,
11/11/2015,H,F4H,0700ED9FD3,BlackPT;R/R,,,70,,,
11/11/2015,H,F4H,0700EDF3DC,BlackPT;R/O,,,69,,,
11/11/2015,H,F4H,0700EE3E56,BlackPT;R/Y,,,72,,,
11/11/2015,H,F3H,0700EDDB26,BlackPT;R/Blue,,,70.5,,,
11/11/2015,H,F3H,0700EE35EC,BlackPT;R/LB,,,69,,,
11/11/2015,H,F3H,0700ED961E,BlackPT;R/G,,,68.5,,,
11/11/2015,H,F3H,0700EDD397,BlackPT;R/Black,,,69,,,
11/11/2015,H,F3H,0700EDC19E,BlackPT;R/Grey,,,70,,,
11/11/2015,H,F4H,0700EE03ED,Black/R;BPT,,,70,,,
11/11/2015,H,F4H,0700EE0425,Blue/R;BPT,,,70,,,
11/11/2015,H,F4H,0700EDD070,G/R;BPT,,M,77,,,
11/11/2015,H,F4H,0700EDDD56,Grey/R;BPT,,,70,,,
11/11/2015,H,F4H,0700EDB0A9,LB/R;BPT,,M,75.5,,,
11/11/2015,H,F4H,0700EE0E70,O/R;BPT,,,68,,,
11/11/2015,H,F3H,0700EDBB5C,R;BPT,,M,74,,,juv
11/11/2015,H,F3H,0700EE332F,R;BlackPT,,,72.5,,,
11/11/2015,H,F3H,0700EDEEA1,R/Black;BPT,,,69,,,juv
11/11/2015,H,F3H,0700ED9E31,R/Blue;BPT,,F,67,,,juv
11/11/2015,H,F3H,0700EDF1FA,R/Blue;BlackPT,,M,73,,,
11/11/2015,H,F3H,0700EDE244,R/G;BPT,,,69,,,juv
11/11/2015,H,F3H,0700EDFF57,R/Grey;BPT,,M,74,,L882,juv
11/11/2015,H,F3H,0700EE1503,R/LB;BPT,,,,,,juv
11/11/2015,H,F4H,0700EDECC1,R/LB;BlackPT,,,72,,,
11/11/2015,H,F3H,0700EE3916,R/O;BPT,,,71,,,juv
11/11/2015,H,F3H,0700EDDACB,R/O;BlackPT,,,71.5,,,
11/11/2015,H,F3H,0700EE17A6,R/R;BPT,,M,74.5,,,juv
11/11/2015,H,F3H,0700EDF817,R/R;BlackPT,,F,65.5,,,
11/11/2015,H,F3H,0700EE2DBB,R/Y;BPT,,,72,,,juv
11/11/2015,H,F3H,0700EE0E28,R/Y;BlackPT,,,72,,,
11/11/2015,H,F4H,0700EDE67B,Y/R;BPT,,M,73,,,
1/24/2016,H,F3H,0700EE0014,BlackPT;O/R,,M,74,,,
1/24/2016,H,F3H,0700EDB336,BlackPT;Y/R,,M,75,,,
1/24/2016,H,F3H,0700EDEF94,BlackPT;Blue/R,,,72,,,
1/24/2016,H,F3H,0700EDD50E,BlackPT;LB/R,,,71.5,,,
1/24/2016,H,F3H,0700EE026F,S2540-39424/LB;RPT,2540-39424,,68,,,adult
1/24/2016,H,F3H,0700ED93A4,BlackPT;G/R,,,69,,,
1/24/2016,H,F3H,0700ED9CF3,BlackPT;Black/R,,M,73,,,
1/24/2016,H,F3H,011017A272,S2720-43455/R;WPT,2720-43455,,,,,adult
1/24/2016,H,F3H,0700EDC3A1,BlackPT;Grey/R,,M,73,,,
1/24/2016,H,F3H,0700EDC4DB,Black/R;BlackPT,,,69.5,,,
1/24/2016,H,F3H,0700ED97A8,Blue/R;BlackPT,,,70,,,
1/24/2016,H,F3H,0700EE1ED7,G/R;BlackPT,,M,75.5,,,
1/24/2016,H,F3H,0700EE0369,GreyPT;R,,,71,,,
1/24/2016,H,F3H,0700EE2506,GreyPT;R/R,,,70,,,
1/24/2016,H,F3H,0700ED8B71,GreyPT;R/O,,,69,,,
1/24/2016,H,F1H,0700EDCF71,GreyPT;R/Y,,,70,,,
1/24/2016,H,F1H,0700EDB366,GreyPT;R/Blue,,,71,,,
1/24/2016,H,F1H,0700EE3E61,GreyPT;R/LB,,,72,,,
1/24/2016,H,F1H,0700EDADAB,GreyPT;R/G,,,69.5,,,
1/24/2016,H,F1H,0700EDCAE6,GreyPT;R/Black,,M,73,,,
1/24/2016,H,F1H,0700EDBBE6,GreyPT;R/Grey,,,70.5,,,
1/24/2016,H,F1H,0700EE40C2,GreyPT;O/R,,,71.5,,,
1/24/2016,H,F1H,0700EDD51F,GreyPT;Y/R,,M,73,,H405,
1/24/2016,H,F1H,0700EE444A,GreyPT;Blue/R,,M,73,,,
1/24/2016,H,F1H,0700EDF68C,GreyPT;LB/R,,M,73.5,,,
1/24/2016,H,F3H,0700EE0B96,Grey/R;BlackPT,,,69,,,
