Site,RFID Date,ColorBands,SilverBands,RFIDold,RFIDnew,Mass,WingLength,BloodSample,Feeder,Sex,MaturityTOIC,KnownHistory,Notes,Recap from pre-2015,Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,1/1/2015,RPT;Blue/LG,,0700EDE992,,,68.5,,F3H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/1/2015,Y/R;RPT,,030003824B,,12.65,70,,F3H,,,,,,,,,,,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,Y-F4H 11/11,
H,1/9/2015,Blue/Black;RPT,,0300032182,,,65,,F3H,F,,,,,,,,,,N,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,Y-F4 11/11,
H,1/9/2015,Blue/G;RPT,,0700ED9EB2,,,71.5,,F3H,,,,,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F4H 10/30/15,
H,1/9/2015,Blue/LB;RPT,,030003ACEE,,,71,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/9/2015,Blue/Y;RPT,,03000214A1,,,65,,F3H,F,,,DUPLICATE COLOR CODE,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/9/2015,PURPLEPT;_,,030003142F,0700EDDE1E,,71,,F3H,,,,formerly blue/g;R PT 030003142F - rebanded due to large growth on R leg,,,,,,,N,N,N,Y,N,N,N,N,Y,N,,,,,,,Y - F4H 11/11,
H,1/9/2015,RPT;Blue/Y,,030002E401,,,71.5,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/9/2015,RPT;Blue/Grey,,0300025603,,,67.5,H371,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,  ,,,,,,,Y-F4H 9/11/15; F4H 11/6,
H,1/9/2015,RPT;Blue/O,,0300022A87,,,72,,F3H,,,,KILLED LATE 2015,,,,,,,N,N,N,Y,N,N,N,N,Y,Y,,,,,,,,
H,1/9/2015,R/S2720-43454;BLUEPT,2720-43454,0700EDDD15,,,71,,F3H,,adult,originally banded F4H 2013 ,,Y - formerly S; LG/R,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/9/2015,S2720-43456/R;BLUEPT,2720-43456,0700EE0988,,,71,H103,F3H,M,adult,originally banded F4H 2013,,Y- formerly S; B/R ,,,,,BOX 27 H,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F4H 11/6,
