Site,RFID Date,ColorBands,SilverBands,RFIDold,RFIDnew,Mass,WingLength,BloodSample,Feeder,Sex,MaturityTOIC,KnownHistory,Notes,Recap from pre-2015,Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,11/11/2015,BPT;G/R,,0700EDA765,,,71.5,,F1H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,BPT;Black/R,,0700EE0171,,,69,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BPT;Grey/R,,0700EE3039,,,68,,F2H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R,,0700EDC307,,,73,,F4H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R/R,,0700ED9FD3,,,70,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,BlackPT;R/O,,0700EDF3DC,,,69,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R/Y,,0700EE3E56,,,72,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,BlackPT;R/Blue,,0700EDDB26,,,70.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,BlackPT;R/LB,,0700EE35EC,,,69,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R/G,,0700ED961E,,,68.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R/Black,,0700EDD397,,,69,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,BlackPT;R/Grey,,0700EDC19E,,,70,,F3H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,Black/R;BPT,,0700EE03ED,,,70,,F4H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,Blue/R;BPT,,0700EE0425,,,70,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,G/R;BPT,,0700EDD070,,,77,,F4H,M,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,Grey/R;BPT,,0700EDDD56,,,70,,F4H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,LB/R;BPT,,0700EDB0A9,,,75.5,,F4H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,O/R;BPT,,0700EE0E70,,,68,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R;BPT,,0700EDBB5C,,,74,,F3H,M,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R;BlackPT,,0700EE332F,,,72.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R/Black;BPT,,0700EDEEA1,,,69,,F3H,,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,Y,,,Y-HEAR 3,,,,,,
H,11/11/2015,R/Blue;BPT,,0700ED9E31,,,67,,F3H,F,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R/Blue;BlackPT,,0700EDF1FA,,,73,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R/G;BPT,,0700EDE244,,,69,,F3H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/Grey;BPT,,0700EDFF57,,,74,L882,F3H,M,juv,,Captured breeding in a box at LOW ,,BOX 93 L,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/LB;BPT,,0700EE1503,,,,,F3H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/LB;BlackPT,,0700EDECC1,,,72,,F4H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/O;BPT,,0700EE3916,,,71,,F3H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/O;BlackPT,,0700EDDACB,,,71.5,,F3H,,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/R;BPT,,0700EE17A6,,,74.5,,F3H,M,juv,,Juv,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,R/R;BlackPT,,0700EDF817,,,65.5,,F3H,F,,,,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/Y;BPT,,0700EE2DBB,,,72,,F3H,,juv,,Juv,,,,,,,N,N,N,Y,,N,N,N,Y,,,,,,,,,
H,11/11/2015,R/Y;BlackPT,,0700EE0E28,,,72,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,11/11/2015,Y/R;BPT,,0700EDE67B,,,73,,F4H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,BlackPT;O/R,,0700EE0014,,,74,,F3H,M,,,Present at LEAR8 April 2016 and detected LOW and HIGH arrays F2015/W16,,,,,,,N,N,N,N,,N,N,N,Y,,Y-LEAR 8,,,,,,,
H,1/24/2016,BlackPT;Y/R,,0700EDB336,,,75,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,BlackPT;Blue/R,,0700EDEF94,,,72,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,BlackPT;LB/R,,0700EDD50E,,,71.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,S2540-39424/LB;RPT,2540-39424,0700EE026F,,,68,,F3H,,adult,S banded 2013 as chick from box 18,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,BlackPT;G/R,,0700ED93A4,,,69,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,Y-HEAR 3,,,,,,,
H,1/24/2016,BlackPT;Black/R,,0700ED9CF3,,,73,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,S2720-43455/R;WPT,2720-43455,011017A272,,,,,F3H,,adult,S banded F4H 2013,*RECAPTURED 2/12/16 at F8L! Last recorded at F3H on 1/28/16 (battery died on this day),Y; was S;R/Blue,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,BlackPT;Grey/R,,0700EDC3A1,,,73,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,Black/R;BlackPT,,0700EDC4DB,,,69.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,Blue/R;BlackPT,,0700ED97A8,,,70,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,G/R;BlackPT,,0700EE1ED7,,,75.5,,F3H,M,,,,,,,,,,N,N,N,N,,N,Y,N,Y,,,,,,F3H 11/29,,,
H,1/24/2016,GreyPT;R,,0700EE0369,,,71,,F3H,,,,Detected at LOW and HIGH arrays F2015/W16,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;R/R,,0700EE2506,,,70,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,GreyPT;R/O,,0700ED8B71,,,69,,F3H,,,,Looks like was tailless but tail now growing back at TOIC.,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,GreyPT;R/Y,,0700EDCF71,,,70,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;R/Blue,,0700EDB366,,,71,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;R/LB,,0700EE3E61,,,72,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,Y-HEAR 1,,,,,,,
H,1/24/2016,GreyPT;R/G,,0700EDADAB,,,69.5,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;R/Black,,0700EDCAE6,,,73,,F1H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;R/Grey,,0700EDBBE6,,,70.5,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;O/R,,0700EE40C2,,,71.5,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,GreyPT;Y/R,,0700EDD51F,,,73,H405,F1H,M,,,,,,BOX B27 H,BOX B29 H,BOX B21 H,,N,N,Y,N,,N,Y,Y,Y,,Y-HEAR 1,,,,,,,
H,1/24/2016,GreyPT;Blue/R,,0700EE444A,,,73,,F1H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,GreyPT;LB/R,,0700EDF68C,,,73.5,,F1H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,Grey/R;BlackPT,,0700EE0B96,,,69,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,LB/R;BlackPT,,0700EDBB92,,,75,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,O/R;BlackPT,,0700ED905A,,,69.5,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R;GreyPT,,0700EDF801,,,67,,F1H,F,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R/Black;BlackPT,,0700ED8D3F,,,69,,F3H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,R/Black;GreyPT,,0700EE13E8,,,72,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R/Blue;GreyPT,,0700EE1C1F,,,72,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R/G;BlackPT,,0700EE0053,,,74,,F3H,M,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,R/G;GreyPT,,0700EDA431,,,71.5,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,R/Grey;BlackPT,,0700EE2B53,,,71,,F3H,,,,Former tailless @ TOIC,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,R/Grey;GreyPT,,0700EE0BA3,,,76,,F1H,M,,,Feather parasites @ TOIC.,,,,,,,N,N,N,N,,N,N,N,Y,,,,,,,,,
H,1/24/2016,R/LB;GreyPT,,0700EE2BF7,,,69,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R/O;GreyPT,,0700EE1227,,,74,,F1H,M,,,,,,,,,,N,N,Y,N,,N,N,Y,Y,,Y-HEAR 1,,,,,,,
H,1/24/2016,R/R;GreyPT,,0700EDF2B4,,,72,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,R/Y;GreyPT,,0700EE1DFC,,,70,,F1H,,,,,,,,,,,N,N,N,N,,N,N,N,N,,,,,,,,,
H,1/24/2016,Y/R;BlackPT,,0700EDF646,,,74,,F3H,M,,,Present at LEAR8 April 2016; Detected LOW and HIGH F2015/W16,,,,,,,N,N,N,N,,N,N,N,Y,,Y-LEAR 8,,,,,,,
H,6/30/2016,GreyPT;G/R,,0700EE4471,,,69,H403; H623,BOX B12 H,M,adult,,,,BOX B12 H,BOX B17 H,BOX B15 H,BOX B12 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,6/30/2016,GreyPT;Black/R,,0700EE3453,,,67.5,H404; H627; H767,BOX B12 H,F,adult,,,,BOX B12 H,BOX B17 H,BOX B15 H,BOX B12 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/4/2016,GreyPT;Grey/R,,0700ED9667,,,70,H413; H697,BOX 1-3 H,M,adult,,,,,BOX 1-3 H,,BOX 1-3 H,,N,Y,Y,,,Y,Y,Y,,,,,,,F1H 9/15,Y-F1H 12/22/2016,,
H,7/4/2016,O/R;GreyPT,,0700EDA16F,,,71,H414,BOX 44 H,M,adult,,,,,,BOX 28-1A H,BOX 44 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/4/2016,Y/R;GreyPT,,0700EE42EC,,,69.5,H415,BOX 1-3 H,F,adult,,,,,,,BOX 1-3 H,,N,Y,Y,,,Y,Y,Y,,,,,,,F2H 11/11,,,
H,7/5/2016,Black/R;GreyPT,,0700EE3311,,,67,H427,BOX 22-1 H,F,adult,,,,,,BOX 22-1 H,BOX 22-1 H,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,7/5/2016,Blue/R;GreyPT,,0700EDFC8B,,,66,H424,BOX 21 H,F,adult,,,,,,BOX 21 H,BOX 21 H,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,7/5/2016,Blue/W;RPT,,0700ED8A15,,,72,H423,BOX B31 H,M,adult,,,,,BOX B32 H,,BOX B31 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/5/2016,G/R;GreyPT,,0700EE2E34,,,70,H426,BOX 28-1 H,M,adult,,,,,,,BOX 28-1 H,,N,N,N,,,N,N,N,,,,,,,,Y- F4H 11/30/2016,,
H,7/5/2016,Grey/R;GreyPT,,0700EDCD66,,,66,H428,BOX 15 H,F,adult,,,,,,,BOX 15 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/5/2016,LB/R;GreyPT,,0700EE2E31,,,68,H425; H625,BOX 28-1 H,F,adult,,,,BOX 22B H,,BOX 29A H,BOX 28-1 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/6/2016,RPT;W,,0700EDA99B,,,67,H429,BOX 43-1 H,F,adult,,,,,,,BOX 43-1 H,,N,N,Y,,,N,N,Y,,,,,,,,Y-F2H 12/22/2016,,
H,7/6/2016,RPT;W/R,,0700ED918A,,,67.5,H430,BOX 41 H,F,adult,,,,,,,BOX 41 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/6/2016,RPT;W/O,,0700EE0329,,,73,H431,BOX 17-1 H,M,adult,,,,BOX 17-2 H,BOX 17-1 H,BOX 17-1 H,BOX 17-1 H,,N,N,N,,,N,Y,N,,,,,,,,Y-F2H 12/22/2016,,
H,7/6/2016,RPT;W/Blue,,0700EDADFA,,,73,H432,BOX 14A H,M,adult,,,,,BOX 16A H,,BOX 14A H,,N,N,N,,,N,N,N,,,,,,,F1H 12/13,,,
H,7/6/2016,RPT;W/LB,,0700EE0C9C,,,68.5,H433,BOX 14A H,F,adult,,,,,,,BOX 14A H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/6/2016,RPT;W/G,,0700EDB8AA,,,67,H447,BOX 32 H,F,adult,,,,,,,BOX 32 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/9/2016,RPT;W/Grey,,0700EE287D,0700EDE04B,,69,H495; H810,BOX B28 H,F,adult,,,,BOX B32 H,BOX B28 H,,BOX B28 H,,N,N,N,,,N,N,N,,,,,,,,,,
H,7/27/2016,GREENPT;R/S2720-43702,2720-43702,0700EE355F,,11.36,66,H614; H650,BOX 25 H,F,adult,S banded as chick in BOX 7 H in 2014,,,,,BOX 24 H,BOX 25 H,,N,Y,N,,,N,Y,Y,,,,,,,F3H 8/18,,,
H,10/26/2016,R/S2740-25660;WPT,2740-25660,011017A327,0110172346,11.96,70,H545; H806,F2H,M,juv,nestling @ Box 4A H 2016,,,BOX 15 H,,BOX 13 H,,,Y,Y,Y,,,Y,Y,Y,,,,,,,,Y-11/21/2016 F4H; 12/19/2016 F5H,,
H,10/26/2016,RPT;W/W,,0700EE0395,,10.35,67,H541,F3H,F,,,tail taken fall 2019,,BOX 18-3 H,BOX 33-2 H,BOX 20 H,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 10/02,,,Y- F3H 12/19/2016,,
H,10/26/2016,W;RPT,,0700EE4300,,11.53,70,H542,F4H,M,,,tail taken 2019,,BOX 21-1 H,BOX 22 H,BOX 22 H,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 09/20,,,Y-12/4/2016 F4H,,
H,10/26/2016,W/O;RPT,,0700EE00BC,,11.97,69.5,H544,F2H,M,,,,,,BOX 12 H,,,,N,Y,Y,,,Y,Y,Y,,,,,,,,Y-F2H 12/22/2016,,
H,10/26/2016,W/R;RPT,,0700ED9084,,10.8,66.5,H543; H638,F4H,F,,,,,BOX 21-1 H,BOX 26 H,BOX 28 H,,,Y,Y,Y,,,Y,Y,Y,,,,,,F3H 03/24 tail feather taken 2019,F3H - 8/13,,,
H,11/4/2016,W/Blue;RPT,,0700EDED4B,,11.89,73,H546,F2H,M,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,Y-F2H 12/22/2016,,
H,11/7/2016,S2740-25910/R;PurplePT,2740-25910,011017A5AA,,11.43,69.5,H549,F4H,,juv,nestling @ Box 18 H 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,11/7/2016,R/S2740-25870;GreenPT,2740-25870,0110179DFA,,11.95,67,H550,F4H,F,juv,nestling @ Box 41 H 2016,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,11/7/2016,S2740-25696/O;PurplePT,2740-25696,0700EDE028,01103F8DF7,11.92,70,H554; H811,F3H,M,juv,nestling @ Box 21 H 2016,feather taken fall 2019,,BOX 33-2 H,BOX 33 H,,,,Y,Y,Y,,,Y,Y,Y,,,,,F5H 09/23,,,Y-11/21/2016 F3H;  11/30/2016 F3H; 12/26/2016 F4H,,
H,11/7/2016,W/Black;RPT,,0700EE0D3C,,11.8,69.5,H551,F4H,M,,,,,,,BOX 28 H,,,N,N,Y,,,N,Y,Y,,,,,,,,,,
H,11/7/2016,W/G;RPT,,0700EDA702,,11.63,70,H548,F4H,M,,,feather taken 2019,,BOX 31-2 H,BOX 31-2 H,,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 09/20,,,,,
H,11/7/2016,W/Grey;RPT,,0700EDDD07,,12.61,74,H553,F3H,M,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,Y-11/21/2016 F4H,,
H,11/7/2016,W/LB;RPT,,0700EDCB97,,10.8,66,H547; H771,F4H,F,,feather taken 2019,,,BOX 29A H,BOX 29A H,BOX 29-1 H,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 09/20,,,Y- 12/7/2016 F4H,,
H,11/7/2016,W/W;RPT,,0700EDC0C6,0700EDFAF0,11.29,67,H552; H798,F3H,F,,,feather taken 2019,,BOX 24-1 H,BOX 24-1 H,,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 09/20,,,Y-F4H 12/22/2016,,
H,11/9/2016,R/S2740-25815;PurplePT,2740-25815,0700ED9813,,11.67,71,H559,F2H,,juv,nestling @ Box 1 H 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,11/9/2016,RPT;Blue/W,,0700EE2513,,10.63,66,H557,F3H,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,11/9/2016,RPT;LB/W,,0700EE1303,,10.42,66,H558,F2H,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
H,11/9/2016,RPT;O/W,,0700EE0457,,12.77,72,H556,F2H,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,11/9/2016,RPT;R/W,,0700EDBFAD,,11.5,72,H555; H634; H685,F2H,M,,,,,BOX 2-1 H,BOX 1-1 H,BOX 1 H; BOX 5 H,,,Y,Y,Y,,,Y,Y,Y,,,,,,F1H 1/13,F1H 9/8; F2H 11/11,,,
H,11/14/2016,S2740-25803/Grey;RPT,2740-25803,0700EE32A9,,11.46,67.5,H561,F6H,M,juv,nestling @ Box 8A H 2016,,,,BOX 39 H,,,,Y,N,N,,,Y,N,N,,,,,,,,,,
H,11/14/2016,O/W;RPT,,0700EDEDAE,,10.47,68,H564,F3H,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
H,11/14/2016,RPT;Black/W,,0700EE1E1B,,10.69,67,,F6H,F,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,11/14/2016,RPT;G/W,,0700EE3C13,,10.36,66.5,H560,F5H,F,,,tail feather taken 2019,,BOX 35 H,BOX 35-1 H,,,,Y,Y,Y,,,Y,Y,Y,,,,,,,F3H 12/13,Y- 11/21/2016 F4H; 12/19/2016 F5H,,
H,11/14/2016,RPT;Grey/W,,0700EE3CC0,,11.62,68,H562,F3H,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,Y- 12/4/2016 F4H; F4H 12/22/2016,,
H,11/14/2016,R/W;RPT,,0700EDFD30,,11.81,68.5,H563,F3H,M,,,,,,,BOX 16 H,,,N,N,Y,,,N,N,Y,,,,,,,,Y-11/21/2016 F4H,,
H,11/14/2016,LB/W;RPT,,0700EE2914,,12.11,70,H565,F6H,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,Y-F4H 12/22/2016,,
H,11/21/2016,B/S2740-25745;RPT,2740-25745,0700EDABF7,,11.71,67.5,H705,F2H,F,juv,nestling @ Box 44 H 2016,,,,BOX 5-2 H,,,,N,Y,Y,,,N,Y,Y,,,,,,,F2H 9/15,,,
H,11/21/2016,Black/W;RPT,,0700EE159B,,11.29,67,,F1H,F,,,MISSING BAND COMBO in book; double check!,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,11/21/2016,S2540-39389/Black;RPT,2540-39389,0700EDB70E,,,69,H626,F4H,F,adult,nestling @Box 6 H 2013,,,BOX 43-2 H,BOX 43-2 H,BOX 21-1 H,,,N,N,N,,,N,N,N,,,,,,,,,,
H,11/21/2016,S2740-25754/Y;PurplePT,2740-25754,011017999B,,,65.5,,F4H,F,juv,nestling @ Box 1-3 H 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,Y- 12/7/2016 F3H,,
H,11/21/2016,BPT;W/R,,0700ED8BD1,,,65.5,H766,F4H,F,,,,,,BOX 28-1A H,,,,N,Y,Y,,,N,Y,Y,,,,,,,,,,
H,11/21/2016,BPT;R/W,,0700EDD65F,,,72,H631,F4H,M,,,NEW BAND COMBO: _; BLUE PT. Injury on Left Leg; removed color bands and placed original PIT tag on uninjured right leg,,,BOX 31 H,BOX 29-1 H,,,Y,Y,Y,,,Y,Y,Y,,,,,,,F3H 01/12/18,Y- 12/7/2016 F4H,,
H,11/21/2016,BlackPT;W/R,,0700EDD4DE,,,75,H689,F4H,M,,,,,,BOX 29-3 H,,,,N,Y,Y,,,N,Y,Y,,,,,,,F4H 9/8,,,
H,11/21/2016,BlackPT;R/W,,0700EE3A1B,,,73,H703,F4H,M,,,,,,,,,,Y,Y,Y,,,Y,Y,Y,,,,,,,F4H 9/15,Y-F4H 11/30/2016,,
H,11/21/2016,G/W;RPT,,0700ED9998,,11.56,68.5,H768,F2H,F,,,,,BOX 10 H,BOX 10 H,BOX 6 H,,,Y,Y,Y,,,Y,Y,Y,,,,,,,F2H 11/24,,,
H,11/21/2016,GreyPT;W/R,,0700EDD4E1,,,68,,F3H,,,,feather taken 2019,,,,,,,Y,Y,Y,,,Y,Y,Y,,,,,F4H 09/20,,,Y-F4H 12/4/2016,,
H,11/21/2016,GreyPT;R/W,,0700EE13D5,,,69.5,,F4H,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,Y-F3H 12/22/2016,,
H,11/21/2016,Grey/W;RPT,,0700EE44D2,,,71.5,H671,F4H,,,,,,,,,,,Y,Y,Y,,,Y,Y,Y,,,,,,,F3H 9/8,,,
H,11/21/2016,YPT;W/R,,0700EE2E26,,,72,,F4H,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,11/24/2016,YPT;R/W,,0700EDF740,,,72,H701,F4H,,,,,,,,,,,Y,N,Y,,,Y,Y,Y,,,,,,,F4H 9/15,,,
H,11/30/2016,LB/S2740-25692;RPT,2740-25692,0700EDF308,,,70,,F4H,,juv,Nestling @ Box B5-1 H 2016,,,,,,,,N,Y,Y,,,N,Y,Y,,,,,,,,,,
H,11/30/2016,S2740-25746/G;PurplePT,2740-25746,0700EE1819,,,66.5,,F2H,F,juv,nestling @ Box 44 H 2016,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,11/30/2016,S2740-25866/LB;PurplePT,2740-25866,0700EDF321,,,71,,F1H,M,juv,nestling @ Box 41 H 2016,,,,,BOX 20A H,,,Y,Y,Y,,,Y,Y,Y,,,,,,,,,,
H,11/30/2016,GreenPT;R/W,,011017A4B0,,,69,H702,F3H,,,,,,,,,,,N,N,Y,,,N,Y,Y,,,,,,,F4H 9/15,Y-F4H 12/30/2016,,
H,11/30/2016,GreenPT;W/R,,0700EE0049,,,71,,F3H,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,Y-F4H 12/19/2016,,
H,11/30/2016,PurplePT;R/W,,01101799BB,,,66,,F3H,F,,,,,,,,,,N,Y,Y,,,N,Y,Y,,,,,,,,,,
H,11/30/2016,PurplePT;W/R,,010799F978,,,68,H683,F1H,F,,,,,,BOX 6A H,,,,N,N,Y,,,N,Y,Y,,,,,,,F1H 9/8,,,
H,11/30/2016,WhitePT;R/W,,01101798A9,0110173D14,,72.5,H796,F2H,M,,,,,BOX 17 H,,,,,N,Y,Y,,,Y,Y,Y,,,,,,,,Y-F2H 12/26/2016,,
H,11/30/2016,WhitePT;W/R,,011017A21B,0110172D2E,,68,H776,F1H,M,,,,,BOX 17A H,BOX 6A H,,,,Y,Y,Y,,,Y,Y,Y,,,,,,F1H 30/13 tail feather taken,F1H-F4H 9/15,,,
H,12/4/2016,S2740-25858/B;PurplePT,2740-25858,011017A009,,,67,,F2H,F,juv,nestling @ Box 33 H 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,F1H 11/17,Y-F1H 12/22/2016,,
H,12/4/2016,S2740-25296/Grey;PurplePT,2740-25296,0110179607,,,69,,F2H,,adult,nestling @ Box 8A H 2015,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
H,12/4/2016,R/W;BPT,,0700EE2B4B,,,69,,F3H,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,12/4/2016,W/R;BPT,,0700EDC865,,,68.5,,F1H,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,12/4/2016,W/R;BlackPT,,0700EDB951,,,69.5,,F2H,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
H,12/7/2016,R/W;BlackPT,,0700EDC722,,,69.5,,F1H,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,Y-F1H 12/22/2016; F1H 12/30/2016,,
